,Unnamed: 0,genes,receptors,cortex-rho,cortex-pspin,subcortex-rho,subcortex-pval
0,0,HTR1A,5HT1a,0.8808250572956453,0.0018998100189981,0.95,3.04312897902698e-08
1,1,HTR1B,5HT1b,0.1177998472116119,0.3211678832116788,-0.3142857142857143,0.8730299918381643
2,2,HTR2A,5HT2a,0.5294117647058822,0.0132986701329867,0.7999999999999999,0.00017113491651784586
3,3,HTR4,5HT4,0.4640183346065698,0.0282971702829717,0.43214285714285705,0.053846518773198994
4,4,HTR6,5HT6,-0.1889992360580595,0.8365163483651635,0.33571428571428563,0.11060576881966297
5,5,SLC6A4,5HTT,0.06829640947288,0.332966703329667,-0.1464285714285714,0.698725039508473
6,6,CHRNA2,A4B2,0.0533231474407944,0.6192380761923808,0.6392857142857141,0.005144223309797104
7,7,CHRNA3,A4B2,-0.2675324675324675,0.7867213278672133,0.42499999999999993,0.05714773774026112
8,8,CHRNA4,A4B2,0.4713521772345301,0.2939456054394561,0.5928571428571427,0.00992321098509057
9,9,CHRNA5,A4B2,0.3650114591291061,0.1620504616205046,0.3428571428571428,0.10546189670737603
10,10,CHRNA6,A4B2,0.5877769289533995,0.0494950504949505,0.35,0.10047267540814665
11,11,CHRNA7,A4B2,0.2883116883116883,0.3970602939706029,-0.15714285714285714,0.7120236996981026
12,12,CHRNA9,A4B2,-0.175248281130634,0.7867213278672133,-0.2785714285714285,0.8426452633846047
13,13,CHRNA10,A4B2,-0.1373567608861726,0.7749336177493361,-0.575,0.9875318860287087
14,14,CHRNB2,A4B2,-0.0631016042780748,0.7749336177493361,0.03214285714285714,0.4547310585472953
15,15,CHRNB3,A4B2,0.6345301757066463,0.0494950504949505,-0.075,0.604744602922366
16,16,CHRNB4,A4B2,0.040183346065699,0.6192380761923808,-0.37499999999999994,0.9157836250766271
17,17,CNR1,CB1,0.7427043544690604,0.0076992300769923,0.12142857142857141,0.3332005568616947
18,18,DRD1,D1,0.1587471352177234,0.2107789221077892,0.8678571428571429,1.3759031977564624e-05
19,19,DRD2,D2,0.706340718105424,0.0127987201279872,0.8428571428571429,3.983597626362429e-05
20,20,SLC6A3,DAT,0.3243697478991595,0.0541945805419458,-0.39642857142857135,0.9282527342788233
21,21,GABRA1,GABAa,0.2436974789915966,0.559019098090191,-0.24642857142857136,0.8120247420130974
22,22,GABRB2,GABAa,0.4084033613445377,0.2374762523747625,0.06785714285714285,0.40505440935525655
23,23,GABRG2,GABAa,0.175859434682964,0.6380195313801953,0.4107142857142856,0.06416432300787443
24,24,GABRR3,GABAa,0.1141329258976317,0.7425543159969717,-0.25357142857142856,0.8190919480920552
25,25,GABRD,GABAa,0.2042780748663101,0.56006399360064,0.18214285714285713,0.2579408408535196
26,26,GABRR2,GABAa,-0.2525592055003819,0.97000299970003,-0.06071428571428571,0.5850939522787406
27,27,GABRR1,GABAa,0.0077922077922077,0.97000299970003,-0.5642857142857142,0.9857837389256457
28,28,GABRG1,GABAa,-0.2216959511077157,0.97000299970003,0.3607142857142856,0.09327718707708177
29,29,GABRA2,GABAa,-0.3121466768525592,0.97000299970003,0.5071428571428571,0.02683183189040294
30,30,GABRA4,GABAa,0.2834224598930481,0.559019098090191,0.4678571428571427,0.0393151155771903
31,31,GABRB1,GABAa,-0.3417876241405653,0.97000299970003,0.7357142857142855,0.0008849343210721353
32,32,GABRG3,GABAa,0.3744843391902215,0.3125187481251875,0.5678571428571427,0.01361417835443093
33,33,GABRA5,GABAa,-0.2165011459129106,0.97000299970003,0.6107142857142855,0.007796415710587805
34,34,GABRB3,GABAa,-0.1807486631016042,0.97000299970003,0.532142857142857,0.020579290193467208
35,35,GABRP,GABAa,-0.2293353705118411,0.97000299970003,-0.15,0.7031848986287059
36,36,GABRA6,GABAa,-0.0398777692895339,0.97000299970003,0.33571428571428563,0.11060576881966297
37,37,GABRE,GABAa,0.0163483575248281,0.97000299970003,0.19999999999999998,0.2374069822610842
38,38,GABRA3,GABAa,-0.3485103132161956,0.97000299970003,0.3285714285714285,0.11590484860307984
39,39,GABRQ,GABAa,-0.2696715049656226,0.97000299970003,0.4392857142857142,0.050680285596736215
40,40,HRH3,H3,0.628113063407181,0.0363963603639636,0.38214285714285706,0.07991181499348365
41,41,CHRM1,M1,0.6290297937356761,0.0013998600139986,0.6392857142857141,0.005144223309797104
42,42,GRM5,mGluR5,0.3301757066462948,0.0675932406759324,0.4928571428571427,0.030975503357084336
43,43,OPRM1,MOR,0.8456837280366691,0.0018998100189981,0.6214285714285712,0.0067010033560908995
44,44,SLC6A2,NET,-0.1361344537815126,0.7343265673432656,0.1857142857142857,0.25377048146683684
45,45,SLC18A3,VAChT,0.148051948051948,0.201979802019798,0.7857142857142856,0.0002582273737852941
